,CountryName,RegionName,Jurisdiction,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-07-07,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.0182578990671787,0.0032083500298481765,0.9105582702395804,1.017211959789489,1.132401589689407
2020-07-08,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.0235357097032196,0.0031993689120569345,0.9155391041953267,1.0225075885406034,1.137484912490403
2020-07-09,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.0286709769818099,0.003210281424901243,0.9197180100639287,1.0276181554257733,1.142641263713307
2020-07-10,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.032760710633455,0.003213696920041152,0.9255603793220242,1.031753907239485,1.1454691836694977
2020-07-11,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.0395700868241262,0.0032261334432148645,0.9307966173869782,1.0385158012863172,1.1529103209663802
2020-07-12,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.044935574995586,0.003220291248862369,0.9364472450238615,1.043915228152076,1.1589289994543241
2020-07-13,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.0503150020977707,0.003220830011679835,0.9424154702129,1.0493124001356184,1.1646111975300482
2020-07-14,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,3.0,106.0,1.0573694910564742,0.0032131653779091445,0.9496590886353046,1.056366183155819,1.1711912153681214
2020-07-15,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,3.0,106.0,1.0614690570474106,0.003190833638009249,0.9535339692117071,1.0604760384415384,1.1753741179620023
2020-07-16,Aruba,,1,0.0,-1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3.0,108.0,1.0645293292357723,0.003163483823826698,0.9569291286031871,1.0635350601778222,1.1769182061119747
